artist,告白/求婚,失戀/分手,工作/讀書,派對/狂歡,通勤/開車,運動
"$orry'O, MC耀宗, 艾瑞",0,0,0,1,0,0
$tupid Young,0,0,0,0,1,1
"$唐老师, Wya乌鸦",0,0,0,1,0,0
&TEAM,0,0,0,1,1,0
"(G)I-DLE, Dimitri Vegas & Like Mike",0,0,0,1,0,0
"(G)I-DLE, R3HAB",0,0,0,1,0,0
(sic)boy,0,0,0,0,1,0
*NSYNC (超級男孩),3,0,1,1,0,2
"*NSYNC, Justin Timberlake",0,0,0,0,0,1
+How,0,0,1,1,1,0
007 Collective,0,0,0,0,1,0
"015B, youra",1,0,0,0,0,0
0720,0,0,1,0,0,0
1 Hour Band,0,0,0,0,0,1
10 Years Of Finger Lickin' (舔指十週年精選),0,0,0,1,0,0
10-FEET,2,0,0,0,0,1
100 Classical Favourites,0,0,0,0,0,1
1012,0,0,8,0,0,0
108萬華製噪,0,0,1,0,0,0
109,0,0,0,0,1,0
10CM (10公分),4,1,5,2,59,0
"10CM, BIG Naughty",0,0,1,0,1,0
10cm X CHEN,0,0,1,0,0,0
112,0,1,0,0,0,0
11월 Band11,0,0,0,0,1,0
1415,0,0,0,0,1,0
"16588, noovy, 歐陽娣娣",0,0,0,0,1,0
"16yrold, KILLY",0,0,0,0,1,0
16個夏天 電視原聲帶,1,7,1,0,0,0
187INC謀殺有限公司,0,0,0,1,0,0
1976,0,0,0,0,4,1
1991,0,0,0,0,0,1
1K,0,0,0,0,1,0
1min beats,0,0,0,0,0,1
1of1,0,1,0,1,0,0
1set,0,0,1,0,0,0
1個球,0,0,0,1,0,0
2 Chainz,0,0,0,0,1,4
"2 Chainz, Lil Wayne",0,0,0,0,0,1
"2 Chainz, Wiz Khalifa",0,0,0,0,0,1
2 Unlimited,0,0,0,1,0,0
20 Years of Age (스무살),1,0,1,0,0,0
2006 KTV點唱精選國語總排行,0,5,0,0,0,0
2006 KTV點唱精選西洋總排行,1,0,0,0,0,0
2010 Best of hanssler (精彩日耳曼),0,3,0,0,0,0
2010 The Hottest (2010終極精選),0,0,0,0,0,1
2011 Grammy Nominees (2011葛萊美的喝采),0,0,0,0,1,0
2012高中原創畢業歌合輯,0,1,0,0,0,1
2016 Gym Music,0,0,0,0,0,33
21 Savage,1,0,0,0,1,3
"21 Savage, Offset, Metro Boomin",1,0,0,0,2,0
"220 KID, JC Stewart",0,0,0,0,0,1
22Bullets & Fedde Le Grand,0,0,0,0,1,0
22Bullets & 李佳薇,0,0,0,1,1,0
24K,0,0,1,0,0,0
24herbs,0,0,0,0,1,0
24hrs,0,0,0,0,0,1
24kGoldn,3,1,0,1,2,0
"24kGoldn, Justin Bieber, J Balvin, iann dior",0,0,0,2,1,0
"24kGoldn, sokodomo",0,0,0,1,0,0
29 Groove,0,0,1,0,0,0
2AM,0,0,1,0,1,0
2BiC (투빅),0,0,0,0,1,0
2HRs,0,0,0,2,0,0
2LSON,0,0,1,1,0,1
2NE1,1,6,2,6,9,2
2PM,0,0,0,5,0,5
2Pac (吐派克),0,0,0,1,4,3
2Rare & NLE Choppa,0,0,0,1,0,0
2hollis,0,0,0,1,0,0
2morro,0,0,0,1,0,0
3 Doors Down (關門合唱團),0,0,0,0,0,3
34bit,1,0,0,0,0,0
35.7,0,1,0,0,0,0
3LAU,0,0,0,2,1,1
3P,0,0,1,0,0,0
3Quency,0,1,1,0,3,2
3RDKND,0,0,0,0,0,1
4 Non Blondes,1,1,0,1,0,2
"4*TOWN (From Disney and Pixar’s Turning Red), Jordan Fisher, Finneas O'Connell, Josh Levi, Topher Ngo, Grayson Villanueva",0,0,0,1,0,0
415,0,0,0,0,1,0
4B,0,0,0,1,0,0
"4B, Flosstradamus",1,0,0,1,0,2
4EVE,0,0,0,0,0,1
4MEN (포맨),1,1,0,0,0,0
4MINUTE,0,3,0,2,2,0
4ever,1,0,0,0,0,0
4gitary Guitar Quartet,0,0,0,0,1,0
4円,2,0,0,0,0,0
5 Seconds of Summer (到暑五秒),2,2,5,2,10,7
50 Cent (五角),1,1,1,0,1,2
500 Days of Summer (戀夏500日電影原聲帶),0,1,0,0,0,0
5566,0,4,0,1,0,1
"5ILVA, Rochelle Chedz",0,0,0,0,0,1
66,1,0,0,0,0,0
6IX9INE,4,0,0,0,3,1
6LACK,0,0,0,0,3,1
70s Love Songs,50,0,0,0,0,0
777 (Triple Seven),0,0,1,0,1,0
77Ke 柯棨棋,1,4,1,0,1,0
7co,0,0,0,1,0,0
7uly,0,0,1,0,0,0
8 Mile (街頭痞子電影原聲帶),0,0,0,0,1,0
80KIDZ,0,0,0,3,0,0
88-Keys,0,0,0,0,1,0
88IT,1,0,0,0,0,0
88rising,0,0,0,3,0,0
"88rising, BIBI",0,0,0,0,0,1
"88rising, NIKI, DJ Snake",0,0,0,1,0,0
8bite,0,1,0,0,0,0
8lak,4,1,0,1,0,1
9 Planet King,0,0,1,0,0,0
9 and the Numbers (9와 숫자들),0,0,0,2,0,0
