playlist_id,title,description,image_url,status,error
LZYLKREiYzN14-Y90E,☕️在家工作BGM☕️ 效率提升：爵士篇,這是一個能讓你宅在家工作事半功倍的神奇歌單。每週二定期更新，每週二都要更效率。,https://i.kfs.io/playlist/global/44747436v12/cropresize/300x300.jpg,ok,
8kJy8y0gMgMI1VMFvi,工作通勤解藥！來點醒腦好心情,通勤好無趣？在家工作有點 Boring？來點音樂給你一整天的活力，說不定好運已經悄悄降臨你身邊了！,https://i.kfs.io/playlist/global/64654219v6/cropresize/300x300.jpg,ok,
OrA5Yo9g_b3P1zAK4C,☕️在家工作BGM☕️ Peace ~Calm專心音樂,"歌單回饋信箱
support@soundscape.net",https://i.kfs.io/playlist/global/64229737v16/cropresize/300x300.jpg,ok,
Sr_iNwlZ_fWNRIIw8A,🎧monday不入：工作時聽的悠閒輕快節拍,輕快、舒爽的樂活靈魂樂，帶來最正面的工作情緒！,https://i.kfs.io/playlist/global/54473106v2/cropresize/300x300.jpg,ok,
0pSRsBDeoPPBDttm2A,饒舌界最強打工仔！Beenzino 和他們的合作,南韓嘻哈界的臉讚高材生 Beenzino，過人的饒舌功力讓 BoA、Zion.T等眾多主流歌手們紛紛邀請合作～ Beenzino 的專屬魅力，聽了這些歌就知道！,https://i.kfs.io/playlist/global/52082573v1/cropresize/300x300.jpg,ok,
9aggiXXcIfG-LGFds6,☕在家工作BGM☕Bossa Nova 的午後☘,,https://i.kfs.io/playlist/global/65679720v3/cropresize/300x300.jpg,ok,
H-QSLcssP2hFES7pYm,工作讀書陪伴歌單首選,"上班, 念書的最佳良伴, 無論工作準備考試都更有效率!",https://i.kfs.io/playlist/global/67093067v2/cropresize/300x300.jpg,ok,
0nw8MITSfFW0Iv6nzn,在家工作輕鬆聽,用音樂開啟在家工作模式，煮杯咖啡、打開筆電，即使在家上班也有好心情！,https://i.kfs.io/playlist/global/59901839v2/cropresize/300x300.jpg,ok,
LXJHeFX2qyA6Rsu-6u,【在家工作BGM】放鬆輕電音Chill一下,,https://i.kfs.io/playlist/global/66895074v5/cropresize/300x300.jpg,ok,
DXi9ax_0Hhl4s6Nf0D,【在家工作BGM】壓力消除抒情鋼琴?,,https://i.kfs.io/playlist/global/66146608v3/cropresize/300x300.jpg,ok,
