artist,告白/求婚,失戀/分手,工作/讀書,派對/狂歡,通勤/開車,運動
"$orry'O, MC耀宗, 艾瑞",,,,,,
$tupid Young,,,,,,
"$唐老师, Wya乌鸦",,,,,,
&TEAM,,,,,,
"(G)I-DLE, Dimitri Vegas & Like Mike",,,,,,
"(G)I-DLE, R3HAB",,,,,,
(sic)boy,,,,,,
*NSYNC (超級男孩),,,,,,
"*NSYNC, Justin Timberlake",,,,,,
+How,,,,,,
007 Collective,,,,,,
"015B, youra",,,,,,
0720,,,,,,
1 Hour Band,,,,,,
10 Years Of Finger Lickin' (舔指十週年精選),,,,,,
10-FEET,,,,,,
100 Classical Favourites,,,,,,
1012,,,,,,
108萬華製噪,,,,,,
109,,,,,,
10CM (10公分),,,0.5232861628484435,,4.280966335344149,
"10CM, BIG Naughty",,,,,,
10cm X CHEN,,,,,,
112,,,,,,
11월 Band11,,,,,,
1415,,,,,,
"16588, noovy, 歐陽娣娣",,,,,,
"16yrold, KILLY",,,,,,
16個夏天 電視原聲帶,,,,,,
187INC謀殺有限公司,,,,,,
1976,,,,,,
1991,,,,,,
1K,,,,,,
1min beats,,,,,,
1of1,,,,,,
1set,,,,,,
1個球,,,,,,
2 Chainz,,,,,,
"2 Chainz, Lil Wayne",,,,,,
"2 Chainz, Wiz Khalifa",,,,,,
2 Unlimited,,,,,,
20 Years of Age (스무살),,,,,,
2006 KTV點唱精選國語總排行,,,,,,
2006 KTV點唱精選西洋總排行,,,,,,
2010 Best of hanssler (精彩日耳曼),,,,,,
2010 The Hottest (2010終極精選),,,,,,
2011 Grammy Nominees (2011葛萊美的喝采),,,,,,
2012高中原創畢業歌合輯,,,,,,
2016 Gym Music,,,,,,5.378067672238076
21 Savage,,,,,,
"21 Savage, Offset, Metro Boomin",,,,,,
"220 KID, JC Stewart",,,,,,
22Bullets & Fedde Le Grand,,,,,,
22Bullets & 李佳薇,,,,,,
24K,,,,,,
24herbs,,,,,,
24hrs,,,,,,
24kGoldn,,,,,,
"24kGoldn, Justin Bieber, J Balvin, iann dior",,,,,,
"24kGoldn, sokodomo",,,,,,
29 Groove,,,,,,
2AM,,,,,,
2BiC (투빅),,,,,,
2HRs,,,,,,
2LSON,,,,,,
2NE1,,1.8033408363937922,,1.0548125563024047,1.7832708528584817,
2PM,,,,,,
2Pac (吐派克),,,,,,
2Rare & NLE Choppa,,,,,,
2hollis,,,,,,
2morro,,,,,,
3 Doors Down (關門合唱團),,,,,,
34bit,,,,,,
35.7,,,,,,
3LAU,,,,,,
3P,,,,,,
3Quency,,,,,,
3RDKND,,,,,,
4 Non Blondes,,,,,,
"4*TOWN (From Disney and Pixar’s Turning Red), Jordan Fisher, Finneas O'Connell, Josh Levi, Topher Ngo, Grayson Villanueva",,,,,,
415,,,,,,
4B,,,,,,
"4B, Flosstradamus",,,,,,
4EVE,,,,,,
4MEN (포맨),,,,,,
4MINUTE,,,,,,
4ever,,,,,,
4gitary Guitar Quartet,,,,,,
4円,,,,,,
5 Seconds of Summer (到暑五秒),,,1.3269041986514105,,1.8398826259651002,1.344516918059519
50 Cent (五角),,,,,,
500 Days of Summer (戀夏500日電影原聲帶),,,,,,
5566,,,,,,
"5ILVA, Rochelle Chedz",,,,,,
66,,,,,,
6IX9INE,,,,,,
6LACK,,,,,,
70s Love Songs,7.2136920384951875,,,,,
777 (Triple Seven),,,,,,
77Ke 柯棨棋,,,,,,
7co,,,,,,
7uly,,,,,,
8 Mile (街頭痞子電影原聲帶),,,,,,
80KIDZ,,,,,,
88-Keys,,,,,,
88IT,,,,,,
88rising,,,,,,
"88rising, BIBI",,,,,,
"88rising, NIKI, DJ Snake",,,,,,
8bite,,,,,,
8lak,,,,,,
9 Planet King,,,,,,
9 and the Numbers (9와 숫자들),,,,,,
911 (911合唱團),,,,,,
929,,,,,,
92914,,,,,,
96貓,,,,,,
9BLADE,,,,,,
9m88,,,,,,
"9m88, Phum Viphurit",,,,,,
9號線轉乘站,,,,,,
=Love,,,,,,
A Bazz,,,,,,
A Boogie Wit da Hoodie,,,,,,
A Fine Frenzy,,,,,,
A Great Big World (浩瀚宇宙),,,,,,
A Great Big World feat. Christina Aguilera,,,,,,
A Killer's Confession,,,,,,
A R I Z O N A,,,,,,
A Skylit Drive,,,,,4.985488405840917,
A Tribe Called Quest (探索一族),,,,,,
A$AP Ferg,,,,,,
"A$AP Ferg feat. Shabba Ranks, Busta Rhymes & Migos",,,,,,
A$AP Mob,,,,,,
A$AP Rocky (速可達硬漢),,,,,,
A-Ha (A-Ha合唱團),,,,,,
A-Lin,0.3911037852196186,3.3423365301033536,0.5371563984902096,1.184016503961936,0.6206832955062989,0.35637797828083634
A-Trak,,,,,,
"A-Trak, YehMe2",,,,,,
A.B. Quintanilla III Y Los Kumbia Kings,,,,,,
A.C.E,,,,,,
A.M. Breakups,,,,,,
A.R. Rahman & The Pussycat Dolls,,,,,,
A.r.d.i.,,,,,,
A/DA阿達,,,,,,
A7S,,,,,,
A7S x HEADER,,,,,,
AAA,,,,,,
AARON,,,,,,
AB6IX,,,,,,
"ABAO阿爆, R.fu, Makav 真愛, Kivi, Dremedreman 曾妮",,,,,,
ABBA (阿巴合唱團),,,,,,
ABRY,,,,,,
AC Slater,,,,,,
"AC Slater, Sinden",,,,,,
AC/DC,,,,,,
ACIDMAN,,,,,,
"ACRAZE, Galantis",,,,,,
"ACRAZE, Pickle, NKY",,,,,,
"ADGRMS, Dexx! Turner",,,,,,
ADMT,,,,,,
ADORA,,,,,,
ADOY (아도이),,,,,,
AFROJACK,,,,1.9338230198877417,1.1888472352389878,1.8616388096208722
"AFROJACK, Amél",,,,,,
"AFROJACK, Martin Garrix, David Guetta, Amél",,,,,,
AGA,,,,,,
AHOF(아홉),,,,,,
AHS Project,,,,,,
AI,,,,,,
AIMERS,,,,,,
AJ Mitchell,2.5247922134733156,3.9072384788532166,,,,
AJ 賴煜哲,,,,,,
AK-69,,,,,,
AKASAKI,,,,,,
AKB48,,,,,,
AKB48 Team TP,,,,,,
AKEOS,,,,,,
AKMU 樂童音樂家,2.238732011946783,,2.0498382103304547,,1.2435068782384815,
AKN,,,,,,
ALEPH (알레프),,,,,,
ALL IN 5,,,,,,
ALL(H)OURS,,,,,,
ALLDAY PROJECT,,,,,,
ALMA,,,,,,
"ALMA, French Montana",,,,,,
ALPHA DRIVE ONE,,,,,,
ALi,,,,,,
"ALi, YESUNG",,,,,,
ALow,,,,,,
AM/PM,,,,,,
AMBER X LUNA,,,,,,
AMIT,,1.6576163243619706,,1.5236181368812511,0.7805562655609516,0.8148587382178903
"ANG, Mykris",,,,,,
ANGIE安吉,2.6231607412709774,,,1.2465966574482963,1.1708343983414273,
ANGRA (火神安格拉),,,,,,
AOA,,,,,,
AOA 智珉 + EXO XIUMIN,,,,,,
"AObeats, Annabel Jones",,,,,,
APA,,,,,,
APHASIA (阿飛西雅),,,,,,
APRIL,,,,,,
AP潘宇謙,,,,,,
AQUA (KR),,,,,,
ARIAZ,,,,,,
ARKis,,,,,,
ARTMS,,,,,,
"ARTY, ÆON:MODE, MRYN",,,,,,
ARrC,,,,,,
ASA Wu,,,,,,
ASC2NT,,,,,,
ASCA,,,,,,
ASH ISLAND,,,,,,
ASKØ,,,,,,
ASMR Rainy Car Ride,,,,,,
ASTN,,,,,,
ASTRO,,,,,,
ATB,,,,,,
ATB feat. HALIENE,,,,,,
"ATB, Topic, A7S",,,,,,
ATBO,,,,,,
ATEEZ,,,1.9554377664336577,1.443427708624343,1.626843585063878,0.47176032212614705
"ATLiens, Blanke",,,,,,
"AUDREY NUNA, DJ Snake",,,,,,
AURORA,,,,,,
AVAM,,,,,,
AWOLNATION,,,,,,
AYAKAKI,,,,,,
AZALEA,,,,,,
"A_o, ROTH BART BARON, アイナ・ジ・エンド",,,,,,
Aalia,,,,,,
Aaliyah (艾莉亞),,,,,,
"Aanysa, Snakehips",,,,,,
Aaradhna,,,,,,
Aaron Espe,,,,,,
Aaron Smith feat. Luvli,,,,,,
Aazar,,,,,,
