artist,告白/求婚,失戀/分手,工作/讀書,派對/狂歡,通勤/開車,運動
"$orry'O, MC耀宗, 艾瑞",False,False,False,False,False,False
$tupid Young,False,False,False,False,False,False
"$唐老师, Wya乌鸦",False,False,False,False,False,False
&TEAM,False,False,False,False,False,False
"(G)I-DLE, Dimitri Vegas & Like Mike",False,False,False,False,False,False
"(G)I-DLE, R3HAB",False,False,False,False,False,False
(sic)boy,False,False,False,False,False,False
*NSYNC (超級男孩),False,False,False,False,False,False
"*NSYNC, Justin Timberlake",False,False,False,False,False,False
+How,False,False,False,False,False,False
007 Collective,False,False,False,False,False,False
"015B, youra",False,False,False,False,False,False
0720,False,False,False,False,False,False
1 Hour Band,False,False,False,False,False,False
10 Years Of Finger Lickin' (舔指十週年精選),False,False,False,False,False,False
10-FEET,False,False,False,False,False,False
100 Classical Favourites,False,False,False,False,False,False
1012,False,False,False,False,False,False
108萬華製噪,False,False,False,False,False,False
109,False,False,False,False,False,False
10CM (10公分),False,False,True,False,True,False
"10CM, BIG Naughty",False,False,False,False,False,False
10cm X CHEN,False,False,False,False,False,False
112,False,False,False,False,False,False
11월 Band11,False,False,False,False,False,False
1415,False,False,False,False,False,False
"16588, noovy, 歐陽娣娣",False,False,False,False,False,False
"16yrold, KILLY",False,False,False,False,False,False
16個夏天 電視原聲帶,False,False,False,False,False,False
187INC謀殺有限公司,False,False,False,False,False,False
1976,False,False,False,False,False,False
1991,False,False,False,False,False,False
1K,False,False,False,False,False,False
1min beats,False,False,False,False,False,False
1of1,False,False,False,False,False,False
1set,False,False,False,False,False,False
1個球,False,False,False,False,False,False
2 Chainz,False,False,False,False,False,False
"2 Chainz, Lil Wayne",False,False,False,False,False,False
"2 Chainz, Wiz Khalifa",False,False,False,False,False,False
2 Unlimited,False,False,False,False,False,False
20 Years of Age (스무살),False,False,False,False,False,False
2006 KTV點唱精選國語總排行,False,False,False,False,False,False
2006 KTV點唱精選西洋總排行,False,False,False,False,False,False
2010 Best of hanssler (精彩日耳曼),False,False,False,False,False,False
2010 The Hottest (2010終極精選),False,False,False,False,False,False
2011 Grammy Nominees (2011葛萊美的喝采),False,False,False,False,False,False
2012高中原創畢業歌合輯,False,False,False,False,False,False
2016 Gym Music,False,False,False,False,False,True
